Date,Parameter
2009,1600.0
2010,1600.0
2011,1600.0
2012,1600.0
2013,2200.0
2014,1500.0
2015,2400.0
2016,1700.0
2017,340.0
2018,1200.0
2019,1500.0
2020,1300.0
